client_id,nb_transactions,ca_client,panier_moyen_client,panier_median_client,montant_min_client,montant_max_client,date_premier_achat,date_dernier_achat,nb_avis,note_moyenne_client,quartile_valeur,segment_valeur
4079,6,802.0,133.66666666666666,136.5,82.0,180.0,2022-12-11,2023-07-28,5,3.02,1,1. Occasionnel
4112,7,885.0,126.42857142857143,130.0,46.0,183.0,2022-11-07,2023-09-01,5,3.02,1,1. Occasionnel
4041,11,896.0,81.45454545454545,42.0,13.0,193.0,2022-10-05,2023-09-23,9,2.8222222222222224,1,1. Occasionnel
4046,8,928.0,116.0,121.5,41.0,190.0,2022-10-07,2023-08-03,8,3.3249999999999997,1,1. Occasionnel
4076,11,928.0,84.36363636363636,70.0,11.0,174.0,2022-10-03,2023-06-30,10,2.91,1,1. Occasionnel
4101,8,943.0,117.875,117.5,48.0,188.0,2022-11-26,2023-09-22,7,2.814285714285714,1,1. Occasionnel
4014,12,1002.0,83.5,86.5,13.0,197.0,2022-10-02,2023-09-22,10,3.35,1,1. Occasionnel
4050,10,1004.0,100.4,96.5,30.0,175.0,2022-10-11,2023-06-20,9,2.3777777777777778,1,1. Occasionnel
3975,11,1010.0,91.81818181818181,101.0,14.0,195.0,2022-11-17,2023-09-29,10,3.1499999999999995,1,1. Occasionnel
4087,9,1029.0,114.33333333333333,119.0,18.0,181.0,2022-10-10,2023-08-27,9,2.966666666666667,1,1. Occasionnel
4027,11,1087.0,98.81818181818181,86.0,31.0,198.0,2022-10-19,2023-09-12,10,2.79,1,1. Occasionnel
4039,10,1093.0,109.3,120.5,32.0,170.0,2022-10-25,2023-07-05,10,3.1699999999999995,1,1. Occasionnel
4016,13,1115.0,85.76923076923077,83.0,22.0,179.0,2022-11-27,2023-07-29,13,2.5615384615384618,1,1. Occasionnel
3969,13,1135.0,87.3076923076923,88.0,20.0,178.0,2022-12-01,2023-09-15,11,2.809090909090909,1,1. Occasionnel
4069,15,1145.0,76.33333333333333,61.0,15.0,191.0,2022-10-19,2023-08-05,14,3.2499999999999996,1,1. Occasionnel
3957,11,1150.0,104.54545454545455,98.0,10.0,183.0,2022-10-03,2023-07-08,10,3.21,1,1. Occasionnel
3983,12,1163.0,96.91666666666667,93.5,19.0,173.0,2022-11-08,2023-09-30,12,3.4000000000000004,1,1. Occasionnel
3977,16,1168.0,73.0,70.5,11.0,167.0,2022-10-07,2023-09-20,14,3.564285714285714,1,1. Occasionnel
4030,11,1236.0,112.36363636363636,94.0,36.0,179.0,2022-10-15,2023-07-30,11,2.527272727272728,1,1. Occasionnel
4021,13,1237.0,95.15384615384616,106.0,12.0,184.0,2022-11-01,2023-09-30,12,2.7583333333333333,1,1. Occasionnel
4022,11,1254.0,114.0,109.0,31.0,198.0,2022-10-10,2023-08-27,10,2.2499999999999996,1,1. Occasionnel
4061,15,1284.0,85.6,83.0,13.0,169.0,2022-10-03,2023-07-30,12,2.9333333333333336,1,1. Occasionnel
4028,16,1287.0,80.4375,55.0,16.0,188.0,2022-10-11,2023-08-22,16,2.6625,1,1. Occasionnel
4089,11,1328.0,120.72727272727273,125.0,43.0,200.0,2022-10-27,2023-07-18,10,2.7399999999999998,1,1. Occasionnel
3958,17,1334.0,78.47058823529412,64.0,16.0,162.0,2022-11-02,2023-09-14,16,2.69375,1,1. Occasionnel
3991,12,1347.0,112.25,129.0,27.0,183.0,2022-10-05,2023-09-19,10,3.29,1,1. Occasionnel
4009,17,1349.0,79.3529411764706,52.0,17.0,165.0,2022-11-04,2023-09-24,15,2.773333333333333,1,1. Occasionnel
4119,13,1357.0,104.38461538461539,90.0,21.0,195.0,2022-10-13,2023-09-14,13,3.3461538461538463,1,1. Occasionnel
4024,14,1375.0,98.21428571428571,92.5,15.0,199.0,2022-10-09,2023-08-03,14,2.9,1,1. Occasionnel
4066,14,1392.0,99.42857142857143,108.5,15.0,176.0,2022-10-13,2023-09-03,10,2.85,1,1. Occasionnel
4058,14,1402.0,100.14285714285714,67.0,26.0,195.0,2022-10-16,2023-09-24,10,2.5999999999999996,1,1. Occasionnel
4062,17,1405.0,82.6470588235294,76.0,14.0,178.0,2022-10-03,2023-09-05,15,3.146666666666667,1,1. Occasionnel
3996,14,1421.0,101.5,99.0,16.0,180.0,2022-12-30,2023-09-05,14,2.457142857142857,1,1. Occasionnel
4085,14,1423.0,101.64285714285714,112.5,16.0,190.0,2022-10-27,2023-08-29,13,2.576923076923077,1,1. Occasionnel
4007,13,1433.0,110.23076923076923,133.0,12.0,185.0,2022-11-18,2023-07-27,12,2.741666666666667,1,1. Occasionnel
3960,15,1434.0,95.6,78.0,11.0,197.0,2022-10-31,2023-09-14,13,3.2461538461538457,1,1. Occasionnel
4114,15,1447.0,96.46666666666667,92.0,33.0,188.0,2022-10-10,2023-09-01,14,3.135714285714286,1,1. Occasionnel
4038,16,1448.0,90.5,88.0,19.0,181.0,2022-10-07,2023-08-14,16,2.90625,1,1. Occasionnel
4004,14,1456.0,104.0,94.5,18.0,198.0,2022-10-15,2023-09-24,14,3.0500000000000003,1,1. Occasionnel
4013,16,1463.0,91.4375,98.0,15.0,185.0,2022-10-07,2023-08-22,15,2.9399999999999995,1,1. Occasionnel
4015,14,1464.0,104.57142857142857,111.0,18.0,200.0,2022-10-11,2023-09-22,14,3.0714285714285716,1,1. Occasionnel
4026,15,1484.0,98.93333333333334,94.0,10.0,185.0,2022-10-15,2023-08-20,15,3.3,1,1. Occasionnel
3971,15,1493.0,99.53333333333333,107.0,26.0,180.0,2022-10-11,2023-08-29,11,2.9818181818181815,2,2. Regulier
4032,16,1500.0,93.75,73.0,22.0,199.0,2022-10-03,2023-09-12,14,2.9,2,2. Regulier
4095,17,1520.0,89.41176470588235,77.0,10.0,199.0,2022-10-25,2023-09-14,16,2.83125,2,2. Regulier
4064,14,1525.0,108.92857142857143,129.5,12.0,192.0,2022-10-08,2023-08-13,13,3.3846153846153846,2,2. Regulier
4025,12,1530.0,127.5,128.5,31.0,195.0,2022-10-02,2023-09-25,11,2.790909090909091,2,2. Regulier
4037,13,1572.0,120.92307692307692,139.0,28.0,194.0,2022-11-05,2023-09-13,12,3.341666666666667,2,2. Regulier
4045,14,1572.0,112.28571428571429,127.5,13.0,198.0,2022-11-29,2023-09-01,13,2.8999999999999995,2,2. Regulier
3963,14,1592.0,113.71428571428571,118.0,42.0,184.0,2022-10-04,2023-09-20,12,2.9583333333333335,2,2. Regulier
4098,17,1595.0,93.82352941176471,99.0,18.0,175.0,2022-10-08,2023-09-21,15,2.906666666666667,2,2. Regulier
3962,13,1617.0,124.38461538461539,148.0,11.0,190.0,2022-10-08,2023-09-25,10,2.3500000000000005,2,2. Regulier
4003,14,1641.0,117.21428571428571,118.0,46.0,186.0,2022-12-29,2023-09-30,14,2.792857142857143,2,2. Regulier
3993,15,1642.0,109.46666666666667,113.0,23.0,176.0,2022-10-08,2023-09-27,11,3.2272727272727266,2,2. Regulier
3966,13,1644.0,126.46153846153847,143.0,24.0,196.0,2022-10-04,2023-09-17,11,3.063636363636364,2,2. Regulier
4020,13,1644.0,126.46153846153847,145.0,15.0,197.0,2022-10-03,2023-09-26,12,2.6,2,2. Regulier
4059,17,1664.0,97.88235294117646,82.0,21.0,186.0,2022-10-23,2023-09-30,15,2.7933333333333334,2,2. Regulier
4094,15,1667.0,111.13333333333334,127.0,17.0,199.0,2022-10-11,2023-08-19,15,2.96,2,2. Regulier
4091,14,1672.0,119.42857142857143,138.0,22.0,196.0,2022-10-15,2023-08-19,13,3.1461538461538465,2,2. Regulier
3979,15,1675.0,111.66666666666667,128.0,13.0,190.0,2022-10-22,2023-09-08,15,2.6600000000000006,2,2. Regulier
4057,18,1680.0,93.33333333333333,92.0,11.0,194.0,2022-10-09,2023-09-28,15,2.906666666666667,2,2. Regulier
3998,14,1732.0,123.71428571428571,120.5,43.0,194.0,2022-11-06,2023-09-23,14,2.621428571428571,2,2. Regulier
4011,17,1732.0,101.88235294117646,118.0,32.0,200.0,2022-11-11,2023-09-29,12,3.3833333333333333,2,2. Regulier
4100,15,1748.0,116.53333333333333,110.0,13.0,199.0,2022-11-04,2023-09-23,14,2.9928571428571424,2,2. Regulier
4048,16,1762.0,110.125,122.0,17.0,188.0,2022-10-03,2023-08-28,15,2.9666666666666672,2,2. Regulier
4063,18,1774.0,98.55555555555556,95.0,10.0,179.0,2022-11-08,2023-09-18,17,3.3352941176470585,2,2. Regulier
3995,18,1788.0,99.33333333333333,74.0,16.0,191.0,2022-11-03,2023-09-20,17,3.105882352941176,2,2. Regulier
4093,18,1792.0,99.55555555555556,96.0,24.0,193.0,2022-10-02,2023-09-24,17,2.552941176470588,2,2. Regulier
3987,16,1797.0,112.3125,105.0,25.0,194.0,2022-10-28,2023-09-01,16,2.7312499999999997,2,2. Regulier
4074,18,1798.0,99.88888888888889,94.0,25.0,177.0,2022-10-05,2023-09-22,18,2.7944444444444443,2,2. Regulier
3961,17,1811.0,106.52941176470588,112.0,19.0,191.0,2022-10-07,2023-08-29,15,2.58,2,2. Regulier
4047,17,1836.0,108.0,107.0,25.0,197.0,2022-10-05,2023-08-26,16,2.6,2,2. Regulier
3964,17,1841.0,108.29411764705883,110.0,39.0,191.0,2022-11-09,2023-09-15,15,2.7866666666666675,2,2. Regulier
4053,13,1843.0,141.76923076923077,159.0,30.0,200.0,2022-11-02,2023-08-31,12,3.0749999999999997,2,2. Regulier
4104,15,1845.0,123.0,123.0,19.0,200.0,2022-12-22,2023-09-30,15,2.766666666666666,2,2. Regulier
4005,16,1847.0,115.4375,106.0,38.0,198.0,2022-10-13,2023-10-01,15,3.2266666666666666,2,2. Regulier
4072,17,1848.0,108.70588235294117,136.0,18.0,197.0,2022-10-15,2023-09-22,16,3.2875000000000005,2,2. Regulier
4086,18,1851.0,102.83333333333333,113.5,14.0,187.0,2022-10-15,2023-09-07,18,3.3333333333333335,2,2. Regulier
4036,13,1856.0,142.76923076923077,135.0,96.0,197.0,2022-10-10,2023-09-25,11,3.3181818181818175,2,2. Regulier
4090,19,1862.0,98.0,80.0,25.0,195.0,2022-10-24,2023-09-29,17,2.7352941176470598,2,2. Regulier
